man09-21|64.5490196078431373
man13-18|78.2615384615384615
man18-21|69.6634615384615385
tri09-21|59.8461538461538462
tri13-18|70.2923076923076923
tri18-21|71.7884615384615385
mid09-21|64.4134615384615385
mid13-18|79.8384615384615385
mid18-21|71.7500000000000000
fim09-21|59.9320388349514563
fim13-18|68.9923076923076923
fim18-21|65.4423076923076923
fos09-21|54.7938144329896907
fos13-18|68.8692307692307692
fos18-21|60.0873786407766990
lau09-21|46.1279069767441860
lau13-18|52.5769230769230769
lau18-21|43.1274509803921569
sun09-21|30.8500000000000000
sun13-18|37.2153846153846154
sun18-21|37.6568627450980392
